key,cz,en,ch
Slavonic_male1,亚历山大,Alexander,亞歷山大·  
Slavonic_male2,阿列克谢,Alexey,阿列克謝·  
Slavonic_male3,阿纳托利,Anatoly,阿納托利·  
Slavonic_male4,安德烈,Andrey,安德烈·  
Slavonic_male5,安东,Anton,安東·  
Slavonic_male6,阿尔乔姆,Artyom,阿爾喬姆·  
Slavonic_male7,阿尔卡季,Arkady,阿爾卡季·  
Slavonic_male8,鲍里斯,Boris,鮑里斯·  
Slavonic_male9,瓦连京,Valentin,瓦連京·  
Slavonic_male10,瓦西里,Vasily,瓦西里·  
Slavonic_male11,维克托,Viktor,維克托·  
Slavonic_male12,弗拉基米尔,Vladimir,弗拉基米爾·  
Slavonic_male13,根纳季,Gennady,根納季·  
Slavonic_male14,格奥尔基,Georgy,格奧爾基·  
Slavonic_male15,格里戈里,Grigory,格里戈里·  
Slavonic_male16,丹尼斯,Denis,丹尼斯·  
Slavonic_male17,德米特里,Dmitry,德米特里·  
Slavonic_male18,叶夫根尼,Yevgeny,葉夫根尼·  
Slavonic_male19,叶戈尔,Yegor,葉戈爾·  
Slavonic_male20,伊戈尔,Igor,伊戈爾·  
Slavonic_male21,伊利亚,Ilya,伊利亞·  
Slavonic_male22,约瑟夫,Joseph,約瑟夫·  
Slavonic_male23,基里尔,Kirill,基里爾·  
Slavonic_male24,康斯坦丁,Konstantin,康斯坦丁·  
Slavonic_male25,列昂尼德,Leonid,列昂尼德·  
Slavonic_male26,列夫,Lev,列夫·  
Slavonic_male27,马克西姆,Maxim,馬克西姆·  
Slavonic_male28,马特维,Matvey,馬特維·  
Slavonic_male29,米哈伊尔,Mikhail,米哈伊爾·  
Slavonic_male30,尼基塔,Nikita,尼基塔·  
Slavonic_male31,尼古拉,Nikolai,尼古拉·  
Slavonic_male32,奥列格,Oleg,奧列格·  
Slavonic_male33,帕维尔,Pavel,帕維爾·  
Slavonic_male34,彼得,Pyotr,彼得·  
Slavonic_male35,罗曼,Roman,羅曼·  
Slavonic_male36,鲁斯兰,Ruslan,魯斯蘭·  
Slavonic_male37,谢苗,Semyon,謝苗·  
Slavonic_male38,谢尔盖,Sergey,謝爾蓋·  
Slavonic_male39,斯坦尼斯拉夫,Stanislav,斯坦尼斯拉夫·  
Slavonic_male40,斯捷潘,Stepan,斯捷潘·  
Slavonic_male41,提莫非,Timofey,提莫非·  
Slavonic_male42,费奥多尔,Fyodor,費奧多爾·  
Slavonic_male43,爱德华,Eduard,愛德華·  
Slavonic_male44,尤里,Yuri,尤里·  
Slavonic_male45,雅科夫,Yakov,雅科夫·  
Slavonic_male46,阿尔图尔,Arthur,阿爾圖爾·  
Slavonic_male47,瓦季姆,Vadim,瓦季姆·  
Slavonic_male48,维塔利,Vitaly,維塔利·  
Slavonic_male49,弗拉季斯拉夫,Vladislav,弗拉季斯拉夫·  
Slavonic_male50,根里赫,Genrikh,根里赫·  
Slavonic_male51,格尔曼,German,格爾曼·  
Slavonic_male52,达尼尔,Danil,達尼爾·  
Slavonic_male53,叶夫斯塔菲,Yevstafy,葉夫斯塔菲·  
Slavonic_male54,扎哈尔,Zakhar,扎哈爾·  
Slavonic_male55,伊格纳特,Ignat,伊格納特·  
Slavonic_male56,因诺肯季,Innokenty,因諾肯季·  
Slavonic_male57,卡济米尔,Kazimir,卡濟米爾·  
Slavonic_male58,列昂尼德,Leonide,列昂尼德·  
Slavonic_male59,马卡尔,Makar,馬卡爾·  
Slavonic_male60,米龙,Miron,米龍·  
