key,cz,en,ch
viking_city_1,拉葛莎,Lagertha,拉葛莎
viking_city_2,弗丽嘉,Freydis,弗麗嘉
viking_city_3,西格丽德,Sigrid,西格麗德
viking_city_4,阿斯特丽德,Astrid,阿斯特麗德
viking_city_5,古德伦,Gudrun,古德倫
viking_city_6,英格堡,Ingeborg,英格堡
viking_city_7,赫尔嘉,Helga,赫爾嘉
viking_city_8,西芙,Sif,西芙
viking_city_9,布伦希尔德,Brynhild,布倫希爾德
viking_city_10,希尔德,Hild,希爾德
viking_city_11,阿尔维斯,Alfhild,阿爾維斯
viking_city_12,埃莉芙,Eiliva,埃莉芙
viking_city_13,弗里德,Frida,弗裏德
viking_city_14,贡希尔德,Gunnhild,貢希爾德
viking_city_15,古德伦,Gudrún,古德倫
viking_city_16,赫尔迪斯,Hildis,赫爾迪斯
viking_city_17,英格维尔德,Ingrid,英格維爾德
viking_city_18,约伦,Jorunn,約倫
viking_city_19,凯尔,Kari,凱爾
viking_city_20,拉格希尔德,Ragnhild,拉格希爾德
viking_city_21,莫德,Maud,莫德
viking_city_22,兰维格,Ranveig,蘭維格
viking_city_23,西格伦,Sigrun,西格倫
viking_city_24,索拉,Thora,索拉
viking_city_25,托拉,Thorunn,托拉
viking_city_26,乌尔夫希尔德,Ulfhild,烏爾夫希爾德
viking_city_27,维格迪斯,Vigdis,維格迪斯
viking_city_28,伊尔瓦,Ylva,伊爾瓦
viking_city_29,阿尔夫希尔德,Alfhildr,阿爾夫希爾德
viking_city_30,阿萨,Asa,阿薩
viking_city_31,博吉尔德,Borgild,博吉爾德
viking_city_32,达格玛,Dagmar,達格瑪
viking_city_33,埃琳,Erin,埃琳
viking_city_34,芬娜,Fenna,芬娜
viking_city_35,贡希尔德,Gunhild,貢希爾德
viking_city_36,赫莱弗,Hleif,赫萊弗
viking_city_37,英格,Inge,英格
viking_city_38,雅尔恩,Jarn,雅爾恩
viking_city_39,凯拉,Kaela,凱拉
viking_city_40,利夫,Liv,利夫
viking_city_41,玛格丽特,Margret,瑪格麗特
viking_city_42,尼达,Nida,尼達
viking_city_43,奥德,Odd,奧德
viking_city_44,朗希尔德,Ranhild,朗希爾德
viking_city_45,西格丽德,Sigridr,西格麗德
viking_city_46,斯瓦拉,Svala,斯瓦拉
viking_city_47,托拉,Thoraa,托拉
viking_city_48,乌尔夫希尔德,Ulvhild,烏爾夫希爾德
viking_city_49,瓦尔迪斯,Valdis,瓦爾迪斯
viking_city_50,伊尔瓦,Ylfa,伊爾瓦
viking_city_51,阿尔夫希尔德,Alfhilda,阿爾夫希爾德
viking_city_52,阿萨,Aslaug,阿薩
viking_city_53,博吉尔德,Borgny,博吉爾德
viking_city_54,达格玛,Dagny,達格瑪
viking_city_55,埃琳,Elin,埃琳
viking_city_56,芬娜,Fenja,芬娜
viking_city_57,贡希尔德,Gunnild,貢希爾德
viking_city_58,赫莱弗,Hlev,赫萊弗
viking_city_59,英格,Inga,英格
viking_city_60,雅尔恩,Jorun,雅爾恩
viking_city_61,凯拉,Kira,凱拉
viking_city_62,利夫,Liva,利夫
viking_city_63,玛格丽特,Margareta,瑪格麗特
viking_city_64,尼达,Nitra,尼達
viking_city_65,奥德,Odda,奧德
viking_city_66,朗希尔德,Ragnhildr,朗希爾德
viking_city_67,西格丽德,Sigrida,西格麗德
viking_city_68,斯瓦拉,Svanlaug,斯瓦拉
viking_city_69,托拉,Thorgerd,托拉
viking_city_70,乌尔夫希尔德,Ulfhilda,烏爾夫希爾德
viking_city_71,瓦尔迪斯,Valdís,瓦爾迪斯
viking_city_72,伊尔瓦,Ylvia,伊爾瓦
viking_city_73,阿尔夫希尔德,Alfhid,阿爾夫希爾德
viking_city_74,阿萨,Asdis,阿薩
viking_city_75,博吉尔德,Borghild,博吉爾德
viking_city_76,达格玛,Dagrun,達格瑪
viking_city_77,埃琳,Eira,埃琳
viking_city_78,芬娜,Finn,芬娜
viking_city_79,贡希尔德,Gunborg,貢希爾德
viking_city_80,赫莱弗,Hlif,赫萊弗
viking_city_81,英格,Inger,英格
viking_city_82,雅尔恩,Jarnheid,雅爾恩
viking_city_83,凯拉,Kyla,凱拉
viking_city_84,利夫,Liff,利夫
viking_city_85,玛格丽特,Margrét,瑪格麗特
viking_city_86,尼达,Nanna,尼達
viking_city_87,奥德,Odila,奧德
viking_city_88,朗希尔德,Ranveiga,朗希爾德
viking_city_89,西格丽德,Sigrun,西格麗德
viking_city_90,斯瓦拉,Svanhild,斯瓦拉
viking_city_91,托拉,Thordis,托拉
viking_city_92,乌尔夫希尔德,Ulvhilda,烏爾夫希爾德
viking_city_93,瓦尔迪斯,Valborg,瓦爾迪斯
viking_city_94,伊尔瓦,Ylfaer,伊爾瓦
viking_city_95,拉格纳,Ragnar,拉格納
viking_city_96,比约恩,Bjorn,比約恩
viking_city_97,哈拉尔德,Harald,哈拉爾德
viking_city_98,埃里克,Eric,埃里克
viking_city_99,奥拉夫,Olaf,奧拉夫
viking_city_100,伊瓦尔,Ivar,伊瓦爾
viking_city_101,哈夫丹,Halfdan,哈夫丹
viking_city_102,乌比,Ubbi,烏比
viking_city_103,西格德,Sigurd,西格德
viking_city_104,克努特,Knut,克努特
viking_city_105,贡纳尔,Gunnar,貢納爾
viking_city_106,斯文,Svein,斯文
viking_city_107,罗洛夫,Rollo,羅洛夫
viking_city_108,托尔斯坦,Thorstein,托爾斯坦
viking_city_109,托克尔,Thorkell,托克爾
viking_city_110,阿恩,Arne,阿恩
viking_city_111,奥丁,Odin,奧丁
viking_city_112,弗雷,Freyr,弗雷
viking_city_113,提尔,Tyr,提爾
viking_city_114,海姆达尔,Heimdall,海姆達爾
viking_city_115,布拉吉,Bragi,布拉吉
viking_city_116,维达尔,Vidar,維達爾
viking_city_117,马格努斯,Magnus,馬格努斯
viking_city_118,埃吉尔,Egil,埃吉爾
viking_city_119,阿尔夫,Alf,阿爾夫
viking_city_120,比约恩,Björn,比約恩
viking_city_121,卡里,Kari,卡里
viking_city_122,埃纳尔,Einar,埃納爾
viking_city_123,弗洛基,Floki,弗洛基
viking_city_124,盖尔,Geir,蓋爾
viking_city_125,哈尔夫丹,Halfdane,哈爾夫丹
viking_city_126,哈康,Hakon,哈康
viking_city_127,英格瓦尔德,Ingvar,英格瓦爾德
viking_city_128,雅尔,Jarl,雅爾
viking_city_129,凯蒂尔,Ketil,凱蒂爾
viking_city_130,莱夫,Leif,萊夫
viking_city_131,莫德,Mord,莫德
viking_city_132,尼尔斯,Nils,尼爾斯
viking_city_133,奥姆,Om,奧姆
viking_city_134,拉格纳尔,Ragnarr,拉格納爾
viking_city_135,罗里克,Rorik,羅里克
viking_city_136,西格蒙德,Sigmund,西格蒙德
viking_city_137,斯图拉,Styr,斯圖拉
viking_city_138,托尔,Thor,托爾
viking_city_139,托尔芬,Thorfinn,托爾芬
viking_city_140,乌尔夫,Ulf,烏爾夫
