key,cz,en,ch
viking_clan_1,拉葛莎,Lagertha,拉葛莎
viking_clan_2,弗丽嘉,Freydis,弗麗嘉
viking_clan_3,西格丽德,Sigrid,西格麗德
viking_clan_4,阿斯特丽德,Astrid,阿斯特麗德
viking_clan_5,古德伦,Gudrun,古德倫
viking_clan_6,英格堡,Ingeborg,英格堡
viking_clan_7,赫尔嘉,Helga,赫爾嘉
viking_clan_8,西芙,Sif,西芙
viking_clan_9,布伦希尔德,Brynhild,布倫希爾德
viking_clan_10,希尔德,Hild,希爾德
viking_clan_11,阿尔维斯,Alfhild,阿爾維斯
viking_clan_12,埃莉芙,Eiliva,埃莉芙
viking_clan_13,弗里德,Frida,弗裏德
viking_clan_14,贡希尔德,Gunnhild,貢希爾德
viking_clan_15,古德伦,Gudrún,古德倫
viking_clan_16,赫尔迪斯,Hildis,赫爾迪斯
viking_clan_17,英格维尔德,Ingrid,英格維爾德
viking_clan_18,约伦,Jorunn,約倫
viking_clan_19,凯尔,Kari,凱爾
viking_clan_20,拉格希尔德,Ragnhild,拉格希爾德
viking_clan_21,莫德,Maud,莫德
viking_clan_22,兰维格,Ranveig,蘭維格
viking_clan_23,西格伦,Sigrun,西格倫
viking_clan_24,索拉,Thora,索拉
viking_clan_25,托拉,Thorunn,托拉
viking_clan_26,乌尔夫希尔德,Ulfhild,烏爾夫希爾德
viking_clan_27,维格迪斯,Vigdis,維格迪斯
viking_clan_28,伊尔瓦,Ylva,伊爾瓦
viking_clan_29,阿尔夫希尔德,Alfhildr,阿爾夫希爾德
viking_clan_30,阿萨,Asa,阿薩
viking_clan_31,博吉尔德,Borgild,博吉爾德
viking_clan_32,达格玛,Dagmar,達格瑪
viking_clan_33,埃琳,Erin,埃琳
viking_clan_34,芬娜,Fenna,芬娜
viking_clan_35,贡希尔德,Gunhild,貢希爾德
viking_clan_36,赫莱弗,Hleif,赫萊弗
viking_clan_37,英格,Inge,英格
viking_clan_38,雅尔恩,Jarn,雅爾恩
viking_clan_39,凯拉,Kaela,凱拉
viking_clan_40,利夫,Liv,利夫
