key,cz,en,ch
viking_country_1,拉葛莎,Lagertha,拉葛莎
viking_country_2,弗丽嘉,Freydis,弗麗嘉
viking_country_3,西格丽德,Sigrid,西格麗德
viking_country_4,阿斯特丽德,Astrid,阿斯特麗德
viking_country_5,古德伦,Gudrun,古德倫
viking_country_6,英格堡,Ingeborg,英格堡
viking_country_7,赫尔嘉,Helga,赫爾嘉
viking_country_8,西芙,Sif,西芙
viking_country_9,布伦希尔德,Brynhild,布倫希爾德
viking_country_10,希尔德,Hild,希爾德
viking_country_11,阿尔维斯,Alfhild,阿爾維斯
viking_country_12,埃莉芙,Eiliva,埃莉芙
viking_country_13,弗里德,Frida,弗裏德
viking_country_14,贡希尔德,Gunnhild,貢希爾德
viking_country_15,古德伦,Gudrún,古德倫
viking_country_16,赫尔迪斯,Hildis,赫爾迪斯
viking_country_17,英格维尔德,Ingrid,英格維爾德
viking_country_18,约伦,Jorunn,約倫
viking_country_19,凯尔,Kari,凱爾
viking_country_20,拉格希尔德,Ragnhild,拉格希爾德
viking_country_21,莫德,Maud,莫德
viking_country_22,兰维格,Ranveig,蘭維格
viking_country_23,西格伦,Sigrun,西格倫
viking_country_24,索拉,Thora,索拉
viking_country_25,托拉,Thorunn,托拉
viking_country_26,乌尔夫希尔德,Ulfhild,烏爾夫希爾德
viking_country_27,维格迪斯,Vigdis,維格迪斯
viking_country_28,伊尔瓦,Ylva,伊爾瓦
viking_country_29,阿尔夫希尔德,Alfhildr,阿爾夫希爾德
viking_country_30,阿萨,Asa,阿薩
viking_country_31,博吉尔德,Borgild,博吉爾德
viking_country_32,达格玛,Dagmar,達格瑪
viking_country_33,埃琳,Erin,埃琳
viking_country_34,芬娜,Fenna,芬娜
viking_country_35,贡希尔德,Gunhild,貢希爾德
viking_country_36,赫莱弗,Hleif,赫萊弗
viking_country_37,英格,Inge,英格
viking_country_38,雅尔恩,Jarn,雅爾恩
viking_country_39,凯拉,Kaela,凱拉
viking_country_40,利夫,Liv,利夫
viking_country_41,玛格丽特,Margret,瑪格麗特
viking_country_42,尼达,Nida,尼達
viking_country_43,奥德,Odd,奧德
viking_country_44,朗希尔德,Ranhild,朗希爾德
viking_country_45,西格丽德,Sigridr,西格麗德
viking_country_46,斯瓦拉,Svala,斯瓦拉
viking_country_47,托拉,Thoraa,托拉
viking_country_48,乌尔夫希尔德,Ulvhild,烏爾夫希爾德
viking_country_49,瓦尔迪斯,Valdis,瓦爾迪斯
viking_country_50,伊尔瓦,Ylfa,伊爾瓦
viking_country_51,阿尔夫希尔德,Alfhilda,阿爾夫希爾德
viking_country_52,阿萨,Aslaug,阿薩
viking_country_53,博吉尔德,Borgny,博吉爾德
viking_country_54,达格玛,Dagny,達格瑪
viking_country_55,埃琳,Elin,埃琳
viking_country_56,芬娜,Fenja,芬娜
viking_country_57,贡希尔德,Gunnild,貢希爾德
viking_country_58,赫莱弗,Hlev,赫萊弗
viking_country_59,英格,Inga,英格
viking_country_60,雅尔恩,Jorun,雅爾恩
viking_country_61,凯拉,Kira,凱拉
viking_country_62,利夫,Liva,利夫
viking_country_63,玛格丽特,Margareta,瑪格麗特
viking_country_64,尼达,Nitra,尼達
viking_country_65,奥德,Odda,奧德
viking_country_66,朗希尔德,Ragnhildr,朗希爾德
viking_country_67,西格丽德,Sigrida,西格麗德
viking_country_68,斯瓦拉,Svanlaug,斯瓦拉
viking_country_69,托拉,Thorgerd,托拉
viking_country_70,乌尔夫希尔德,Ulfhilda,烏爾夫希爾德
viking_country_71,瓦尔迪斯,Valdís,瓦爾迪斯
viking_country_72,伊尔瓦,Ylvia,伊爾瓦
viking_country_73,阿尔夫希尔德,Alfhid,阿爾夫希爾德
viking_country_74,阿萨,Asdis,阿薩
viking_country_75,博吉尔德,Borghild,博吉爾德
viking_country_76,达格玛,Dagrun,達格瑪
viking_country_77,埃琳,Eira,埃琳
viking_country_78,芬娜,Finn,芬娜
viking_country_79,贡希尔德,Gunborg,貢希爾德
viking_country_80,赫莱弗,Hlif,赫萊弗
viking_country_81,英格,Inger,英格
viking_country_82,雅尔恩,Jarnheid,雅爾恩
viking_country_83,凯拉,Kyla,凱拉
viking_country_84,利夫,Liff,利夫
viking_country_85,玛格丽特,Margrét,瑪格麗特
viking_country_86,尼达,Nanna,尼達
viking_country_87,奥德,Odila,奧德
viking_country_88,朗希尔德,Ranveiga,朗希爾德
viking_country_89,西格丽德,Sigrun,西格麗德
viking_country_90,斯瓦拉,Svanhild,斯瓦拉
viking_country_91,托拉,Thordis,托拉
viking_country_92,乌尔夫希尔德,Ulvhilda,烏爾夫希爾德
viking_country_93,瓦尔迪斯,Valborg,瓦爾迪斯
viking_country_94,伊尔瓦,Ylfaer,伊爾瓦
viking_country_95,拉格纳,Ragnar,拉格納
viking_country_96,比约恩,Bjorn,比約恩
viking_country_97,哈拉尔德,Harald,哈拉爾德
viking_country_98,埃里克,Eric,埃里克
viking_country_99,奥拉夫,Olaf,奧拉夫
viking_country_100,伊瓦尔,Ivar,伊瓦爾
viking_country_101,哈夫丹,Halfdan,哈夫丹
viking_country_102,乌比,Ubbi,烏比
viking_country_103,西格德,Sigurd,西格德
viking_country_104,克努特,Knut,克努特
viking_country_105,贡纳尔,Gunnar,貢納爾
viking_country_106,斯文,Svein,斯文
viking_country_107,罗洛夫,Rollo,羅洛夫
viking_country_108,托尔斯坦,Thorstein,托爾斯坦
viking_country_109,托克尔,Thorkell,托克爾
viking_country_110,阿恩,Arne,阿恩
viking_country_111,奥丁,Odin,奧丁
viking_country_112,弗雷,Freyr,弗雷
viking_country_113,提尔,Tyr,提爾
viking_country_114,海姆达尔,Heimdall,海姆達爾
viking_country_115,布拉吉,Bragi,布拉吉
viking_country_116,维达尔,Vidar,維達爾
viking_country_117,马格努斯,Magnus,馬格努斯
viking_country_118,埃吉尔,Egil,埃吉爾
viking_country_119,阿尔夫,Alf,阿爾夫
viking_country_120,比约恩,Björn,比約恩
viking_country_121,卡里,Kari,卡里
viking_country_122,埃纳尔,Einar,埃納爾
viking_country_123,弗洛基,Floki,弗洛基
viking_country_124,盖尔,Geir,蓋爾
viking_country_125,哈尔夫丹,Halfdane,哈爾夫丹
viking_country_126,哈康,Hakon,哈康
viking_country_127,英格瓦尔德,Ingvar,英格瓦爾德
viking_country_128,雅尔,Jarl,雅爾
viking_country_129,凯蒂尔,Ketil,凱蒂爾
viking_country_130,莱夫,Leif,萊夫
viking_country_131,莫德,Mord,莫德
viking_country_132,尼尔斯,Nils,尼爾斯
viking_country_133,奥姆,Om,奧姆
viking_country_134,拉格纳尔,Ragnarr,拉格納爾
viking_country_135,罗里克,Rorik,羅里克
viking_country_136,西格蒙德,Sigmund,西格蒙德
viking_country_137,斯图拉,Styr,斯圖拉
viking_country_138,托尔,Thor,托爾
viking_country_139,托尔芬,Thorfinn,托爾芬
viking_country_140,乌尔夫,Ulf,烏爾夫
viking_country_141,瓦尔,Val,瓦爾
viking_country_142,维格迪斯,Vigdis,維格迪斯
viking_country_143,伊尔,Yr,伊爾
viking_country_144,阿斯比约恩,Asbjorn,阿斯比約恩
viking_country_145,博迪,Bodi,博迪
viking_country_146,布兰德,Brand,布蘭德
viking_country_147,埃纳尔,Einarr,埃納爾
viking_country_148,芬博吉,Finnbogi,芬博吉
viking_country_149,古德布兰德,Gudbrand,古德布蘭德
viking_country_150,哈斯坦,Hastein,哈斯坦
viking_country_151,赫拉芬,Hrafn,赫拉芬
viking_country_152,英吉蒙德,Ingimund,英吉蒙德
viking_country_153,约朗德,Jorund,約朗德
viking_country_154,凯蒂尔,Ketill,凱蒂爾
viking_country_155,利奥特,Ljot,利奧特
viking_country_156,莫克,Mokk,莫克
viking_country_157,尼库拉斯,Nikulas,尼庫拉斯
viking_country_158,奥德,Odd,奧德
viking_country_159,朗瓦尔德,Ragnvald,朗瓦爾德
viking_country_160,西格瓦特,Sigvat,西格瓦特
viking_country_161,斯凯吉,Skeggi,斯凱吉
viking_country_162,托尔比约恩,Thorbjorn,托爾比約恩
viking_country_163,乌尔夫,Ulfr,烏爾夫
viking_country_164,维加德,Vigard,維加德
viking_country_165,伊瓦尔,Ívarr,伊瓦爾
viking_country_166,阿尔夫,Álfr,阿爾夫
viking_country_167,阿恩比约恩,Arnbjorn,阿恩比約恩
viking_country_168,阿斯盖尔,Asgeir,阿斯蓋爾
viking_country_169,比约恩,Bjorne,比約恩
viking_country_170,达格,Dag,達格
viking_country_171,埃里克,Eirik,埃里克
viking_country_172,芬恩,Finn,芬恩
viking_country_173,古德罗德,Gudrod,古德羅德
viking_country_174,哈尔多尔,Halldor,哈爾多爾
viking_country_175,哈康,Haakon,哈康
viking_country_176,英格,Inge,英格
viking_country_177,雅尔,Jarle,雅爾
viking_country_178,凯蒂尔,Kettil,凱蒂爾
viking_country_179,莱夫,Leifr,萊夫
viking_country_180,马格努斯,Magnús,馬格努斯
viking_country_181,尼尔斯,Niles,尼爾斯
viking_country_182,奥拉夫,Olafr,奧拉夫
viking_country_183,拉格纳,Ragnarsson,拉格納
viking_country_184,罗格瓦尔,Rogvald,羅格瓦爾
viking_country_185,西格弗里德,Sigfried,西格弗裏德
viking_country_186,斯图尔拉,Styrla,斯圖爾拉
viking_country_187,托尔凯尔,Thorkel,托爾凱爾
viking_country_188,乌尔夫,Wulf,烏爾夫
