key,cz,en,ch
viking_family_1,拉葛莎,Lagertha,拉葛莎
viking_family_2,弗丽嘉,Freydis,弗麗嘉
viking_family_3,西格丽德,Sigrid,西格麗德
viking_family_4,阿斯特丽德,Astrid,阿斯特麗德
viking_family_5,古德伦,Gudrun,古德倫
viking_family_6,英格堡,Ingeborg,英格堡
viking_family_7,赫尔嘉,Helga,赫爾嘉
viking_family_8,西芙,Sif,西芙
viking_family_9,布伦希尔德,Brynhild,布倫希爾德
viking_family_10,希尔德,Hild,希爾德
viking_family_11,阿尔维斯,Alfhild,阿爾維斯
viking_family_12,埃莉芙,Eiliva,埃莉芙
viking_family_13,弗里德,Frida,弗裏德
viking_family_14,贡希尔德,Gunnhild,貢希爾德
viking_family_15,古德伦,Gudrún,古德倫
viking_family_16,赫尔迪斯,Hildis,赫爾迪斯
viking_family_17,英格维尔德,Ingrid,英格維爾德
viking_family_18,约伦,Jorunn,約倫
viking_family_19,凯尔,Kari,凱爾
viking_family_20,拉格希尔德,Ragnhild,拉格希爾德
viking_family_21,莫德,Maud,莫德
viking_family_22,兰维格,Ranveig,蘭維格
viking_family_23,西格伦,Sigrun,西格倫
viking_family_24,索拉,Thora,索拉
viking_family_25,托拉,Thorunn,托拉
viking_family_26,乌尔夫希尔德,Ulfhild,烏爾夫希爾德
viking_family_27,维格迪斯,Vigdis,維格迪斯
viking_family_28,伊尔瓦,Ylva,伊爾瓦
viking_family_29,阿尔夫希尔德,Alfhildr,阿爾夫希爾德
viking_family_30,阿萨,Asa,阿薩
viking_family_31,博吉尔德,Borgild,博吉爾德
viking_family_32,达格玛,Dagmar,達格瑪
viking_family_33,埃琳,Erin,埃琳
viking_family_34,芬娜,Fenna,芬娜
viking_family_35,贡希尔德,Gunhild,貢希爾德
viking_family_36,赫莱弗,Hleif,赫萊弗
viking_family_37,英格,Inge,英格
viking_family_38,雅尔恩,Jarn,雅爾恩
viking_family_39,凯拉,Kaela,凱拉
viking_family_40,利夫,Liv,利夫
viking_family_41,玛格丽特,Margret,瑪格麗特
viking_family_42,尼达,Nida,尼達
viking_family_43,奥德,Odd,奧德
viking_family_44,朗希尔德,Ranhild,朗希爾德
viking_family_45,西格丽德,Sigridr,西格麗德
viking_family_46,斯瓦拉,Svala,斯瓦拉
viking_family_47,托拉,Thoraa,托拉
viking_family_48,乌尔夫希尔德,Ulvhild,烏爾夫希爾德
viking_family_49,瓦尔迪斯,Valdis,瓦爾迪斯
viking_family_50,伊尔瓦,Ylfa,伊爾瓦
viking_family_51,阿尔夫希尔德,Alfhilda,阿爾夫希爾德
viking_family_52,阿萨,Aslaug,阿薩
viking_family_53,博吉尔德,Borgny,博吉爾德
viking_family_54,达格玛,Dagny,達格瑪
viking_family_55,埃琳,Elin,埃琳
viking_family_56,芬娜,Fenja,芬娜
viking_family_57,贡希尔德,Gunnild,貢希爾德
viking_family_58,赫莱弗,Hlev,赫萊弗
viking_family_59,英格,Inga,英格
viking_family_60,雅尔恩,Jorun,雅爾恩
viking_family_61,凯拉,Kira,凱拉
viking_family_62,利夫,Liva,利夫
viking_family_63,玛格丽特,Margareta,瑪格麗特
viking_family_64,尼达,Nitra,尼達
viking_family_65,奥德,Odda,奧德
viking_family_66,朗希尔德,Ragnhildr,朗希爾德
viking_family_67,西格丽德,Sigrida,西格麗德
viking_family_68,斯瓦拉,Svanlaug,斯瓦拉
viking_family_69,托拉,Thorgerd,托拉
viking_family_70,乌尔夫希尔德,Ulfhilda,烏爾夫希爾德
viking_family_71,瓦尔迪斯,Valdís,瓦爾迪斯
viking_family_72,伊尔瓦,Ylvia,伊爾瓦
viking_family_73,阿尔夫希尔德,Alfhid,阿爾夫希爾德
viking_family_74,阿萨,Asdis,阿薩
viking_family_75,博吉尔德,Borghild,博吉爾德
viking_family_76,达格玛,Dagrun,達格瑪
viking_family_77,埃琳,Eira,埃琳
viking_family_78,芬娜,Finn,芬娜
viking_family_79,贡希尔德,Gunborg,貢希爾德
viking_family_80,赫莱弗,Hlif,赫萊弗
viking_family_81,英格,Inger,英格
viking_family_82,雅尔恩,Jarnheid,雅爾恩
viking_family_83,凯拉,Kyla,凱拉
viking_family_84,利夫,Liff,利夫
viking_family_85,玛格丽特,Margrét,瑪格麗特
viking_family_86,尼达,Nanna,尼達
viking_family_87,奥德,Odila,奧德
viking_family_88,朗希尔德,Ranveiga,朗希爾德
viking_family_89,西格丽德,Sigrun,西格麗德
viking_family_90,斯瓦拉,Svanhild,斯瓦拉
viking_family_91,托拉,Thordis,托拉
viking_family_92,乌尔夫希尔德,Ulvhilda,烏爾夫希爾德
viking_family_93,瓦尔迪斯,Valborg,瓦爾迪斯
viking_family_94,伊尔瓦,Ylfaer,伊爾瓦
viking_family_95,拉格纳,Ragnar,拉格納
viking_family_96,比约恩,Bjorn,比約恩
viking_family_97,哈拉尔德,Harald,哈拉爾德
viking_family_98,埃里克,Eric,埃里克
viking_family_99,奥拉夫,Olaf,奧拉夫
viking_family_100,伊瓦尔,Ivar,伊瓦爾
viking_family_101,哈夫丹,Halfdan,哈夫丹
viking_family_102,乌比,Ubbi,烏比
viking_family_103,西格德,Sigurd,西格德
viking_family_104,克努特,Knut,克努特
viking_family_105,贡纳尔,Gunnar,貢納爾
viking_family_106,斯文,Svein,斯文
viking_family_107,罗洛夫,Rollo,羅洛夫
viking_family_108,托尔斯坦,Thorstein,托爾斯坦
viking_family_109,托克尔,Thorkell,托克爾
viking_family_110,阿恩,Arne,阿恩
viking_family_111,奥丁,Odin,奧丁
viking_family_112,弗雷,Freyr,弗雷
viking_family_113,提尔,Tyr,提爾
viking_family_114,海姆达尔,Heimdall,海姆達爾
viking_family_115,布拉吉,Bragi,布拉吉
viking_family_116,维达尔,Vidar,維達爾
viking_family_117,马格努斯,Magnus,馬格努斯
viking_family_118,埃吉尔,Egil,埃吉爾
viking_family_119,阿尔夫,Alf,阿爾夫
viking_family_120,比约恩,Björn,比約恩
viking_family_121,卡里,Kari,卡里
viking_family_122,埃纳尔,Einar,埃納爾
viking_family_123,弗洛基,Floki,弗洛基
viking_family_124,盖尔,Geir,蓋爾
viking_family_125,哈尔夫丹,Halfdane,哈爾夫丹
viking_family_126,哈康,Hakon,哈康
viking_family_127,英格瓦尔德,Ingvar,英格瓦爾德
viking_family_128,雅尔,Jarl,雅爾
viking_family_129,凯蒂尔,Ketil,凱蒂爾
viking_family_130,莱夫,Leif,萊夫
viking_family_131,莫德,Mord,莫德
viking_family_132,尼尔斯,Nils,尼爾斯
viking_family_133,奥姆,Om,奧姆
viking_family_134,拉格纳尔,Ragnarr,拉格納爾
viking_family_135,罗里克,Rorik,羅里克
viking_family_136,西格蒙德,Sigmund,西格蒙德
viking_family_137,斯图拉,Styr,斯圖拉
viking_family_138,托尔,Thor,托爾
viking_family_139,托尔芬,Thorfinn,托爾芬
viking_family_140,乌尔夫,Ulf,烏爾夫
viking_family_141,瓦尔,Val,瓦爾
viking_family_142,维格迪斯,Vigdis,維格迪斯
viking_family_143,伊尔,Yr,伊爾
viking_family_144,阿斯比约恩,Asbjorn,阿斯比約恩
viking_family_145,博迪,Bodi,博迪
viking_family_146,布兰德,Brand,布蘭德
viking_family_147,埃纳尔,Einarr,埃納爾
viking_family_148,芬博吉,Finnbogi,芬博吉
viking_family_149,古德布兰德,Gudbrand,古德布蘭德
viking_family_150,哈斯坦,Hastein,哈斯坦
viking_family_151,赫拉芬,Hrafn,赫拉芬
viking_family_152,英吉蒙德,Ingimund,英吉蒙德
viking_family_153,约朗德,Jorund,約朗德
viking_family_154,凯蒂尔,Ketill,凱蒂爾
viking_family_155,利奥特,Ljot,利奧特
viking_family_156,莫克,Mokk,莫克
viking_family_157,尼库拉斯,Nikulas,尼庫拉斯
viking_family_158,奥德,Odd,奧德
viking_family_159,朗瓦尔德,Ragnvald,朗瓦爾德
viking_family_160,西格瓦特,Sigvat,西格瓦特
viking_family_161,斯凯吉,Skeggi,斯凱吉
viking_family_162,托尔比约恩,Thorbjorn,托爾比約恩
viking_family_163,乌尔夫,Ulfr,烏爾夫
viking_family_164,维加德,Vigard,維加德
viking_family_165,伊瓦尔,Ívarr,伊瓦爾
viking_family_166,阿尔夫,Álfr,阿爾夫
viking_family_167,阿恩比约恩,Arnbjorn,阿恩比約恩
viking_family_168,阿斯盖尔,Asgeir,阿斯蓋爾
viking_family_169,比约恩,Bjorne,比約恩
viking_family_170,达格,Dag,達格
viking_family_171,埃里克,Eirik,埃里克
viking_family_172,芬恩,Finn,芬恩
viking_family_173,古德罗德,Gudrod,古德羅德
viking_family_174,哈尔多尔,Halldor,哈爾多爾
viking_family_175,哈康,Haakon,哈康
viking_family_176,英格,Inge,英格
viking_family_177,雅尔,Jarle,雅爾
viking_family_178,凯蒂尔,Kettil,凱蒂爾
viking_family_179,莱夫,Leifr,萊夫
viking_family_180,马格努斯,Magnús,馬格努斯
viking_family_181,尼尔斯,Niles,尼爾斯
viking_family_182,奥拉夫,Olafr,奧拉夫
viking_family_183,拉格纳,Ragnarsson,拉格納
viking_family_184,罗格瓦尔,Rogvald,羅格瓦爾
viking_family_185,西格弗里德,Sigfried,西格弗裏德
viking_family_186,斯图尔拉,Styrla,斯圖爾拉
viking_family_187,托尔凯尔,Thorkel,托爾凱爾
viking_family_188,乌尔夫,Wulf,烏爾夫
viking_family_189,瓦尔加德,Valgard,瓦爾加德
viking_family_190,伊尔,Yrre,伊爾
viking_family_191,阿斯比约恩,Asbjörn,阿斯比約恩
viking_family_192,博迪,Boddi,博迪
viking_family_193,布兰德,Brandr,布蘭德
viking_family_194,埃纳尔,Einnar,埃納爾
viking_family_195,芬博吉,Finnbogi,芬博吉
viking_family_196,古德布兰德,Gudbrandr,古德布蘭德
viking_family_197,哈斯坦,Hasteinn,哈斯坦
viking_family_198,赫拉芬,Hrafnar,赫拉芬
viking_family_199,英吉蒙德,Ingimundr,英吉蒙德
viking_family_200,约朗德,Jorundr,約朗德
viking_family_201,凯蒂尔,Ketilsson,凱蒂爾
viking_family_202,利奥特,Ljotr,利奧特
viking_family_203,莫克,Mokkr,莫克
viking_family_204,尼库拉斯,Nikolaus,尼庫拉斯
viking_family_205,奥德,Odder,奧德
viking_family_206,朗瓦尔德,Ranvald,朗瓦爾德
viking_family_207,西格瓦特,Sigvatr,西格瓦特
viking_family_208,斯凯吉,Skeggir,斯凱吉
viking_family_209,托尔比约恩,Thorbjörn,托爾比約恩
viking_family_210,乌尔夫,Ulfhedinn,烏爾夫
viking_family_211,维加德,Vigarth,維加德
viking_family_212,伊瓦尔,Ivarr,伊瓦爾
viking_family_213,阿尔夫,Alfgeir,阿爾夫
viking_family_214,阿恩比约恩,Arnbjörn,阿恩比約恩
viking_family_215,阿斯盖尔,Asgeirr,阿斯蓋爾
viking_family_216,比约恩,Bjarni,比約恩
viking_family_217,达格,Dagr,達格
viking_family_218,埃里克,Erik,埃里克
viking_family_219,芬恩,Finnr,芬恩
viking_family_220,古德罗德,Gudrodr,古德羅德
viking_family_221,哈尔多尔,Halldorr,哈爾多爾
viking_family_222,哈康,Håkon,哈康
viking_family_223,英格,Ingi,英格
viking_family_224,雅尔,Jarlen,雅爾
viking_family_225,凯蒂尔,Ketilmund,凱蒂爾
viking_family_226,莱夫,Leifur,萊夫
viking_family_227,马格努斯,Magnusson,馬格努斯
viking_family_228,尼尔斯,Nilsson,尼爾斯
viking_family_229,奥拉夫,Olafsson,奧拉夫
viking_family_230,拉格纳,Ragnarsson,拉格納
viking_family_231,罗格瓦尔,Rogvaldr,羅格瓦爾
viking_family_232,西格弗里德,Sigfrid,西格弗裏德
viking_family_233,斯图尔兰,Styrmir,斯圖爾蘭
viking_family_234,托尔凯尔,Thorkell,托爾凱爾
viking_family_235,乌尔夫,Wulfstan,烏爾夫
viking_family_236,瓦尔加德,Valgardr,瓦爾加德
viking_family_237,伊尔,Yngvar,伊爾
viking_family_238,阿斯比约恩,Asbjarn,阿斯比約恩
viking_family_239,博迪,Bodvar,博迪
viking_family_240,布兰德,Brandur,布蘭德
viking_family_241,埃纳ar,Einarson,埃納爾
viking_family_242,芬博吉,Finnbogason,芬博吉
viking_family_243,古德布兰德,Gudbrandur,古德布蘭德
viking_family_244,哈斯坦,Hasteinsson,哈斯坦
viking_family_245,赫拉芬,Hrafnkel,赫拉芬
viking_family_246,英吉蒙德,Ingimundsson,英吉蒙德
viking_family_247,约朗德,Jorundsson,約朗德
viking_family_248,凯蒂尔,Ketilbjorn,凱蒂爾
viking_family_249,利奥特,Ljotolf,利奧特
viking_family_250,莫克,Mokkur,莫克
viking_family_251,尼库拉斯,Nikolai,尼庫拉斯
viking_family_252,奥德,Oddr,奧德
viking_family_253,朗瓦尔德,Ranald,朗瓦爾德
viking_family_254,西格瓦特,Sigvaldi,西格瓦特
viking_family_255,斯凯吉,Skeggiason,斯凱吉
viking_family_256,托尔比约恩,Thorbrand,托爾比約恩
viking_family_257,乌尔夫,Ulfric,烏爾夫
viking_family_258,维加德,Vigarthr,維加德
