key,cz,en,ch
viking_female1_1,拉葛莎,Lagertha,拉葛莎
viking_female1_2,弗丽嘉,Freydis,弗麗嘉
viking_female1_3,西格丽德,Sigrid,西格麗德
viking_female1_4,阿斯特丽德,Astrid,阿斯特麗德
viking_female1_5,古德伦,Gudrun,古德倫
viking_female1_6,英格堡,Ingeborg,英格堡
viking_female1_7,赫尔嘉,Helga,赫爾嘉
viking_female1_8,西芙,Sif,西芙
viking_female1_9,布伦希尔德,Brynhild,布倫希爾德
viking_female1_10,希尔德,Hild,希爾德
viking_female1_11,阿尔维斯,Alfhild,阿爾維斯
viking_female1_12,埃莉芙,Eiliva,埃莉芙
viking_female1_13,弗里德,Frida,弗裏德
viking_female1_14,贡希尔德,Gunnhild,貢希爾德
viking_female1_15,古德伦,Gudrún,古德倫
viking_female1_16,赫尔迪斯,Hildis,赫爾迪斯
viking_female1_17,英格维尔德,Ingrid,英格維爾德
viking_female1_18,约伦,Jorunn,約倫
viking_female1_19,凯尔,Kari,凱爾
viking_female1_20,拉格希尔德,Ragnhild,拉格希爾德
viking_female1_21,莫德,Maud,莫德
viking_female1_22,兰维格,Ranveig,蘭維格
viking_female1_23,西格伦,Sigrun,西格倫
viking_female1_24,索拉,Thora,索拉
viking_female1_25,托拉,Thorunn,托拉
viking_female1_26,乌尔夫希尔德,Ulfhild,烏爾夫希爾德
viking_female1_27,维格迪斯,Vigdis,維格迪斯
viking_female1_28,伊尔瓦,Ylva,伊爾瓦
viking_female1_29,阿尔夫希尔德,Alfhildr,阿爾夫希爾德
viking_female1_30,阿萨,Asa,阿薩
viking_female1_31,博吉尔德,Borgild,博吉爾德
viking_female1_32,达格玛,Dagmar,達格瑪
viking_female1_33,埃琳,Erin,埃琳
viking_female1_34,芬娜,Fenna,芬娜
viking_female1_35,贡希尔德,Gunhild,貢希爾德
viking_female1_36,赫莱弗,Hleif,赫萊弗
viking_female1_37,英格,Inge,英格
viking_female1_38,雅尔恩,Jarn,雅爾恩
viking_female1_39,凯拉,Kaela,凱拉
viking_female1_40,利夫,Liv,利夫
viking_female1_41,玛格丽特,Margret,瑪格麗特
viking_female1_42,尼达,Nida,尼達
viking_female1_43,奥德,Odd,奧德
viking_female1_44,朗希尔德,Ranhild,朗希爾德
viking_female1_45,西格丽德,Sigridr,西格麗德
viking_female1_46,斯瓦拉,Svala,斯瓦拉
viking_female1_47,托拉,Thoraa,托拉
viking_female1_48,乌尔夫希尔德,Ulvhild,烏爾夫希爾德
viking_female1_49,瓦尔迪斯,Valdis,瓦爾迪斯
viking_female1_50,伊尔瓦,Ylfa,伊爾瓦
viking_female1_51,阿尔夫希尔德,Alfhilda,阿爾夫希爾德
viking_female1_52,阿萨,Aslaug,阿薩
viking_female1_53,博吉尔德,Borgny,博吉爾德
viking_female1_54,达格玛,Dagny,達格瑪
viking_female1_55,埃琳,Elin,埃琳
viking_female1_56,芬娜,Fenja,芬娜
viking_female1_57,贡希尔德,Gunnild,貢希爾德
viking_female1_58,赫莱弗,Hlev,赫萊弗
viking_female1_59,英格,Inga,英格
viking_female1_60,雅尔恩,Jorun,雅爾恩
viking_female1_61,凯拉,Kira,凱拉
viking_female1_62,利夫,Liva,利夫
viking_female1_63,玛格丽特,Margareta,瑪格麗特
viking_female1_64,尼达,Nitra,尼達
viking_female1_65,奥德,Odda,奧德
viking_female1_66,朗希尔德,Ragnhildr,朗希爾德
viking_female1_67,西格丽德,Sigrida,西格麗德
viking_female1_68,斯瓦拉,Svanlaug,斯瓦拉
viking_female1_69,托拉,Thorgerd,托拉
viking_female1_70,乌尔夫希尔德,Ulfhilda,烏爾夫希爾德
viking_female1_71,瓦尔迪斯,Valdís,瓦爾迪斯
viking_female1_72,伊尔瓦,Ylvia,伊爾瓦
viking_female1_73,阿尔夫希尔德,Alfhid,阿爾夫希爾德
viking_female1_74,阿萨,Asdis,阿薩
viking_female1_75,博吉尔德,Borghild,博吉爾德
viking_female1_76,达格玛,Dagrun,達格瑪
viking_female1_77,埃琳,Eira,埃琳
viking_female1_78,芬娜,Finn,芬娜
viking_female1_79,贡希尔德,Gunborg,貢希爾德
viking_female1_80,赫莱弗,Hlif,赫萊弗
viking_female1_81,英格,Inger,英格
viking_female1_82,雅尔恩,Jarnheid,雅爾恩
viking_female1_83,凯拉,Kyla,凱拉
viking_female1_84,利夫,Liff,利夫
viking_female1_85,玛格丽特,Margrét,瑪格麗特
viking_female1_86,尼达,Nanna,尼達
viking_female1_87,奥德,Odila,奧德
viking_female1_88,朗希尔德,Ranveiga,朗希爾德
viking_female1_89,西格丽德,Sigrun,西格麗德
viking_female1_90,斯瓦拉,Svanhild,斯瓦拉
viking_female1_91,托拉,Thordis,托拉
viking_female1_92,乌尔夫希尔德,Ulvhilda,烏爾夫希爾德
viking_female1_93,瓦尔迪斯,Valborg,瓦爾迪斯
viking_female1_94,伊尔瓦,Ylfaer,伊爾瓦
