key,cz,en,ch
viking_male1_1,拉格纳,Ragnar,拉格納
viking_male1_2,比约恩,Bjorn,比約恩
viking_male1_3,哈拉尔德,Harald,哈拉爾德
viking_male1_4,埃里克,Eric,埃里克
viking_male1_5,奥拉夫,Olaf,奧拉夫
viking_male1_6,伊瓦尔,Ivar,伊瓦爾
viking_male1_7,哈夫丹,Halfdan,哈夫丹
viking_male1_8,乌比,Ubbi,烏比
viking_male1_9,西格德,Sigurd,西格德
viking_male1_10,克努特,Knut,克努特
viking_male1_11,贡纳尔,Gunnar,貢納爾
viking_male1_12,斯文,Svein,斯文
viking_male1_13,罗洛夫,Rollo,羅洛夫
viking_male1_14,托尔斯坦,Thorstein,托爾斯坦
viking_male1_15,托克尔,Thorkell,托克爾
viking_male1_16,阿恩,Arne,阿恩
viking_male1_17,奥丁,Odin,奧丁
viking_male1_18,弗雷,Freyr,弗雷
viking_male1_19,提尔,Tyr,提爾
viking_male1_20,海姆达尔,Heimdall,海姆達爾
viking_male1_21,布拉吉,Bragi,布拉吉
viking_male1_22,维达尔,Vidar,維達爾
viking_male1_23,马格努斯,Magnus,馬格努斯
viking_male1_24,埃吉尔,Egil,埃吉爾
viking_male1_25,阿尔夫,Alf,阿爾夫
viking_male1_26,比约恩,Björn,比約恩
viking_male1_27,卡里,Kari,卡里
viking_male1_28,埃纳尔,Einar,埃納爾
viking_male1_29,弗洛基,Floki,弗洛基
viking_male1_30,盖尔,Geir,蓋爾
viking_male1_31,哈尔夫丹,Halfdane,哈爾夫丹
viking_male1_32,哈康,Hakon,哈康
viking_male1_33,英格瓦尔德,Ingvar,英格瓦爾德
viking_male1_34,雅尔,Jarl,雅爾
viking_male1_35,凯蒂尔,Ketil,凱蒂爾
viking_male1_36,莱夫,Leif,萊夫
viking_male1_37,莫德,Mord,莫德
viking_male1_38,尼尔斯,Nils,尼爾斯
viking_male1_39,奥姆,Om,奧姆
viking_male1_40,拉格纳尔,Ragnarr,拉格納爾
viking_male1_41,罗里克,Rorik,羅里克
viking_male1_42,西格蒙德,Sigmund,西格蒙德
viking_male1_43,斯图拉,Styr,斯圖拉
viking_male1_44,托尔,Thor,托爾
viking_male1_45,托尔芬,Thorfinn,托爾芬
viking_male1_46,乌尔夫,Ulf,烏爾夫
viking_male1_47,瓦尔,Val,瓦爾
viking_male1_48,维格迪斯,Vigdis,維格迪斯
