key,cz,en,ch
viking_nickname_1,“战斗者”,"Combatant" ,“戰鬥者”
viking_nickname_2,“聪颖者”,"Wise" ,“聰穎者”
viking_nickname_3,“反叛者”,"Rebellious" ,“反叛者”
viking_nickname_4,“顽抗者”,"Defiant" ,“頑抗者”
viking_nickname_5,“狂怒者”,"Furious" ,“狂怒者”
viking_nickname_6,“自信者”,"Confident" ,“自信者”
viking_nickname_7,“诡诈者”,"Cunning" ,“詭詐者”
viking_nickname_8,“慷慨者”,"Generous" ,“慷慨者”
viking_nickname_9,“欢腾者”,"Jubilant" ,“歡騰者”
viking_nickname_10,“粗鲁者”,"Rude" ,“粗魯者”
viking_nickname_11,“疯狂者”,"Crazy" ,“瘋狂者”
viking_nickname_12,“敏锐者”,"Sharp" ,“敏銳者”
viking_nickname_13,“复仇者”,"Vengeful" ,“復仇者”
viking_nickname_14,“恶意者”,"Malicious" ,“惡意者”
viking_nickname_15,“惩戒者”,"Disciplinary" ,“懲戒者”
viking_nickname_16,“不休者”,"Unyielding" ,“不休者”
viking_nickname_17,“贪婪者”,"Greedy" ,“貪婪者”
viking_nickname_18,“无情者”,"Ruthless" ,“無情者”
viking_nickname_19,“勇敢者”,"Brave" ,“勇敢者”
viking_nickname_20,“无畏者”,"Fearless" ,“無畏者”
viking_nickname_21,“快活者”,"Jovial" ,“快活者”
viking_nickname_22,“愤慨者”,"Indignant" ,“憤慨者”
viking_nickname_23,“狡诈者”,"Deceitful" ,“狡詐者”
viking_nickname_24,“愚蠢者”,"Foolish" ,“愚蠢者”
viking_nickname_25,“快乐者”,"Happy" ,“快樂者”
viking_nickname_26,“不稳者”,"Unstable" ,“不穩者”
viking_nickname_27,“审慎者”,"Prudent" ,“審慎者”
viking_nickname_28,“孤僻者”,"Solitary" ,“孤僻者”
viking_nickname_29,“洞察者”,"Insightful" ,“洞察者”
viking_nickname_30,“难测者”,"Unpredictable" ,“難測者”
viking_nickname_31,“冲动者”,"Impulsive" ,“衝動者”
viking_nickname_32,“毒祸者”,"Venomous" ,“毒禍者”
viking_nickname_33,“曲折者”,"Winding" ,“曲折者”
viking_nickname_34,“优雅者”,"Elegant" ,“優雅者”
viking_nickname_35,“不屈者”,"Unbending" ,“不屈者”
viking_nickname_36,“耐心者”,"Patient" ,“耐心者”
viking_nickname_37,“忠诚者”,"Loyal" ,“忠誠者”
viking_nickname_38,“凶猛者”,"Fierce" ,“兇猛者”
viking_nickname_39,“不恕者”,"Unforgiving" ,“不恕者”
viking_nickname_40,“顽固者”,"Stubborn" ,“頑固者”
viking_nickname_41,“幸运者”,"Lucky" ,“幸運者”
viking_nickname_42,“傲慢者”,"Arrogant" ,“傲慢者”
viking_nickname_43,“鲁莽者”,"Reckless" ,“魯莽者”
viking_nickname_44,“可靠者”,"Reliable" ,“可靠者”
viking_nickname_45,“热情者”,"Passionate" ,“熱情者”
viking_nickname_46,“狂野者”,"Wild" ,“狂野者”
viking_nickname_47,“活泼者”,"Lively" ,“活潑者”
viking_nickname_48,“热忱者”,"Enthusiastic" ,“熱忱者”
viking_nickname_49,“强健者”,"Sturdy" ,“強健者”
viking_nickname_50,“热闹者”,"Boisterous" ,“熱鬧者”
viking_nickname_51,“轻快者”,"Brisk" ,“輕快者”
viking_nickname_52,“活跃者”,"Active" ,“活躍者”
viking_nickname_53,“稳固者”,"Steady" ,“穩固者”
viking_nickname_54,“执拗者”,"Obstinate" ,“執拗者”
viking_nickname_55,“顽强者”,"Tenacious" ,“頑強者”
viking_nickname_56,“坚决者”,"Resolute" ,“堅決者”
viking_nickname_57,“棘手者”,"Tricky" ,“棘手者”
viking_nickname_58,“冷酷者”,"Cold-hearted" ,“冷酷者”
viking_nickname_59,“残暴者”,"Brutal" ,“殘暴者”
viking_nickname_60,“狂暴者”,"Violent" ,“狂暴者”
viking_nickname_61,“暴乱者”,"Riotous" ,“暴亂者”
