key,cz,en,ch
country_1,阿尔诺林德,Arnorlind,阿爾諾林德
country_2,艾尔兰,Eirlan,艾爾蘭
country_3,塞洛斯,Selos,塞洛斯
country_4,伊瑟利,Iseli,伊瑟利
country_5,维斯特,Vester,維斯特
country_6,诺尔图,Nortu,諾爾圖
country_7,卡利安,Kalian,卡利安
country_8,索菲亚,Sophia,索菲亞
country_9,阿卡迪,Akadi,阿卡迪
country_10,雷恩哈,Renha,雷恩哈
country_11,瓦伦迪,Valendi,瓦倫迪
country_12,奥斯特,Oste,奧斯特
country_13,泰拉诺,Terrano,泰拉諾
country_14,克里斯特,Krist,克里斯特
country_15,德拉科,Draco,德拉科
country_16,尤诺斯,Yunos,尤諾斯
country_17,萨菲罗,Safiro,薩菲羅
country_18,阿尔卡,Arka,阿爾卡
country_19,泽尔塔,Zelta,澤爾塔
country_20,艾瑟兰,Eislan,艾瑟蘭
country_21,卡梅隆,Cameron,卡梅隆
country_22,菲尼克斯,Phoenix,菲尼克斯
country_23,卢米纳,Lumina,盧米納
country_24,维兰特,Valant,維蘭特
country_25,阿斯特,Aste,阿斯特
country_26,诺瓦利,Novali,諾瓦利
country_27,欧罗拉,Aurora,歐羅拉
country_28,瑟雷斯,Ceres,瑟雷斯
country_29,伊格尼,Igeni,伊格尼
country_30,凯尔莫,Kelmo,凱爾莫
country_31,索伦,Soren,索倫
country_32,瓦尔哈,Valha,瓦爾哈
country_33,艾瑞克,Eric,艾瑞克
country_34,奥德赛,Odyssey,奧德賽
country_35,诺瓦里,Novari,諾瓦里
country_36,卡尔德,Karde,卡爾德
country_37,赛弗里,Saferi,賽弗里
country_38,艾瑟瑞,Eiseri,艾瑟瑞
country_39,奥伯伦,Oberon,奧伯倫
country_40,塔利斯,Talis,塔利斯
country_41,艾尔德,Eld,艾爾德
country_42,阿尔卡,Arca,阿爾卡
country_43,萨洛尼,Saloni,薩洛尼
country_44,艾奎西,Aequisi,艾奎西
country_45,维瑟利,Veseli,維瑟利
country_46,卡斯特,Cast,卡斯特
country_47,艾瑟瑞,Eisery,艾瑟瑞
country_48,奥斯特,Ost,奧斯特
country_49,卡拉迪,Kaladi,卡拉迪
country_50,诺瓦瑟,Novase,諾瓦瑟
country_51,阿尔瑟,Arse,阿爾瑟
country_52,埃兰迪尔姆,Elandilm,埃蘭迪爾姆
country_53,卡拉斯托尔,Karastor,卡拉斯托爾
country_54,伊希尔德尔,Ishildel,伊希爾德爾
country_55,安法拉斯,Anfaras,安法拉斯
country_56,多尼尔温,Donirwin,多尼爾溫
country_57,埃瑞德洛斯,Eredlos,埃瑞德洛斯
country_58,宁格罗德尔,Ningrodel,寧格羅德爾
country_59,洛斯阿尔那赫,Losarnah,洛斯阿爾那赫
country_60,辛达米尔,Sindamir,辛達米爾
country_61,吉尔多拉斯,Gildoras,吉爾多拉斯
country_62,阿蒙维拉,Amonvila,阿蒙維拉
country_63,佩拉诺尔,Pelanor,佩拉諾爾
country_64,塔兰迪尔,Talandil,塔蘭迪爾
country_65,米斯林恩,Mislin,米斯林恩
country_66,贝烈戈斯特,Belegost,貝烈戈斯特
country_67,欧洛斐尔,Orolphir,歐洛斐爾
country_68,阿塞兰迪尔,Aselandil,阿塞蘭迪爾
country_69,罗瓦尼尔,Rovanil,羅瓦尼爾
