key,cz,en,ch
female1_el,埃尔,El,埃爾
female1_els,艾尔斯,Els,艾爾斯
female1_eli,伊莉,Eli,伊莉
female1_is,伊丝,Is,伊絲
female1_iz,伊兹,Iz,伊茲
female1_ol,奥尔,Ol,奧爾
female1_oliv,奥利夫,Oliv,奧利夫
female1_aub,欧布,Aub,歐布
female1_bri,布里,Bri,布里
female1_cam,卡姆,Cam,卡姆
female1_car,卡尔,Car,卡爾
female1_chr,克里,Chr,克里
female1_dan,丹,Dan,丹
female1_ge,吉,Ge,吉
female1_gra,格拉,Gra,格拉
female1_hel,赫尔,Hel,赫爾
female1_jad,贾德,Jad,賈德
female1_jan,简,Jan,簡
female1_jul,朱尔,Jul,朱爾
female1_kat,凯特,Kat,凱特
female1_lau,劳,Lau,勞
female1_liv,莉芙,Liv,莉芙
female1_mar,玛,Mar,瑪
female1_nat,娜特,Nat,娜特
female1_pam,派姆,Pam,派姆
female1_pen,潘,Pen,潘
female1_ros,罗斯,Ros,羅斯
female1_sav,萨瓦,Sav,薩瓦
female1_sel,塞尔,Sel,塞爾
female1_soph,索菲,Soph,索菲
female1_ste,斯特,Ste,斯特
female1_val,瓦尔,Val,瓦爾
female1_vio,维奥,Vio,維奧
female1_abi,艾比,Abi,艾比
female1_ami,艾米,Ami,艾米
female1_emi,埃米,Emi,埃米
female1_jov,乔维,Jov,喬維
female1_bel,贝尔,Bel,貝爾
female1_cle,克勒,Cle,克勒
female1_ale,艾丽,Ale,艾麗
