key,cz,en,ch
youmu_female2_chimeg,奇梅格,Chimeg,奇梅格
youmu_female2_delger,德勒格,Delger,德勒格
youmu_female2_bileg,必勒格,Bileg,必勒格
youmu_female2_erdene,额尔德内,Erdene,額爾德內
youmu_female2_chuluu,楚鲁,Chuluu,楚魯
youmu_female2_bayan,巴彦,Bayan,巴彥
youmu_female2_baatar,巴特,Baatar,巴特
youmu_female2_jargal,扎嘎勒,Jargal,扎嘎勒
youmu_female2_purev,普列夫,Purev,普列夫
youmu_female2_zolzaya,祖勒札娅,Zolzaya,祖勒札婭
youmu_female2_saran,萨然,Saran,薩然
youmu_female2_gant,干特,Gant,干特
youmu_female2_bolormaa,博洛玛,Bolormaa,博洛瑪
youmu_female2_naraa,娜拉,Naraa,娜拉
youmu_female2_tsolmon,祖木伦,Tsolmon,祖木倫
youmu_female2_tsedevsuren,则德甫瑟伦,Tsedevsuren,則德甫瑟倫
youmu_female2_gantsetseg,干策塞格,Gantsetseg,干策塞格
youmu_female2_enkhjargal,恩赫扎嘎勒,Enkhjargal,恩赫扎嘎勒
youmu_female2_erdenechimeg,额尔德内奇梅格,Erdenechimeg,額爾德內奇梅格
youmu_female2_jinchuluun,津楚伦,Jinchuluun,津楚倫
youmu_female2_togoo,托古,Togoo,托古
youmu_female2_munkh,蒙克,Munkh,蒙克
youmu_female2_sarangerel,萨然格瑞勒,Sarangerel,薩然格瑞勒
youmu_female2_bolt,博尔特,Bolt,博爾特
youmu_female2_ogood,鄂古德,Ogood,鄂古德
youmu_female2_tselmeg,塞勒梅格,Tselmeg,塞勒梅格
youmu_female2_orgodol,鄂格多尔,Orgodol,鄂格多爾
youmu_female2_altanshar,阿尔坦沙尔,Altanshar,阿爾坦沙爾
youmu_female2_munkhzaya,蒙赫扎亚,Munkhzaya,蒙赫扎亞
youmu_female2_enkhzol,恩赫佐尔,Enkhzol,恩赫佐爾
youmu_female2_purevdorj,普列夫多尔,Purevdorj,普列夫多爾
youmu_female2_enkhzaya,恩赫扎亚,Enkhzaya,恩赫扎亞
youmu_female2_erdenemunkh,额尔德内蒙克,Erdenemunkh,額爾德內蒙克
youmu_female2_nergui,尼尔贵,Nergui,尼爾貴
youmu_female2_zaya,扎亚,Zaya,扎亞
youmu_female2_ogal,鄂盖尔,Ogal,鄂蓋爾
youmu_female2_lhagvaa,拉格瓦,Lhagvaa,拉格瓦
youmu_female2_tugs,图格斯,Tugs,圖格斯
youmu_female2_erdenebayar,额尔德巴雅尔,Erdenebayar,額爾德巴雅爾
youmu_female2_duuren,杜伦,Duuren,杜倫
youmu_female2_jargalsaikhan,扎嘎勒赛汗,Jargalsaikhan,扎嘎勒賽汗
youmu_female2_nandaa,南达,Nandaa,南達
youmu_female2_ochir,鄂奇尔,Ochir,鄂奇爾
youmu_female2_sodnom,索德诺姆,Sodnom,索德諾姆
youmu_female2_padma,帕玛,Padma,帕瑪
youmu_female2_omjilt,鄂姆兹勒特,Omjilt,鄂姆兹勒特
youmu_female2_sor,索尔,Sor,索爾
youmu_female2_ulzii,乌力兹,Ulzii,烏力兹
youmu_female2_bayarjargal,巴雅尔扎加勒,Bayarjargal,巴雅爾扎加勒
youmu_female2_suuri,苏日,Suuri,蘇日
youmu_female2_jargaltuya,扎嘎勒图雅,Jargaltuya,扎嘎勒圖雅
youmu_female2_norov,诺罗夫,Norov,諾羅夫
youmu_female2_erdeneor,额尔德诺尔,Erdeneor,額爾德諾爾
youmu_female2_tungaa,图嘎,Tungaa,圖嘎
youmu_female2_ujin,乌金,Ujin,烏金
youmu_female2_erdenebulgan,额尔德布尔甘,Erdenebulgan,額爾德布爾甘
youmu_female2_bolorjargal,博洛尔扎嘎勒,Bolorjargal,博洛爾扎嘎勒
youmu_female2_ganbold,干博尔德,Ganbold,干博爾德
youmu_female2_enkhjin,恩赫津,Enkhjin,恩赫津
youmu_female2_saranbileg,萨然必勒格,Saranbileg,薩然必勒格
youmu_female2_gantulga,干图尔嘎,Gantulga,干圖爾嘎
youmu_female2_delgerdel,德勒格德尔,Delgerdel,德勒格德爾
youmu_female2_erdenejargal,额尔德札嘎勒,Erdenejargal,額爾德札嘎勒
