key,cz,en,ch
youmu_male2_khan,汗,Khan,汗
youmu_male2_bek,别克,Bek,別克
youmu_male2_baat,巴特,Baat,巴特
youmu_male2_tig,提格,Tig,提格
youmu_male2_bayar,巴雅尔,Bayar,巴雅爾
youmu_male2_batu,巴图,Batu,巴圖
youmu_male2_oglu,奥格鲁,Oglu,奧格魯
youmu_male2_ali,阿里,Ali,阿里
youmu_male2_dai,戴,Dai,戴
youmu_male2_beg,贝格,Beg,貝格
youmu_male2_tar,塔尔,Tar,塔爾
youmu_male2_dor,多尔,Dor,多爾
youmu_male2_udun,乌敦,Udun,烏敦
youmu_male2_mir,米尔,Mir,米爾
youmu_male2_og,奥格,Og,奧格
youmu_male2_uar,瓦尔,Uar,瓦爾
youmu_male2_urun,乌伦,Urun,烏倫
youmu_male2_erde,额尔德,Erde,額爾德
youmu_male2_bor,博尔,Bor,博爾
youmu_male2_tem,特姆,Tem,特姆
youmu_male2_tegin,提金,Tegin,提金
youmu_male2_tor,托尔,Tor,托爾
youmu_male2_tay,台,Tay,台
youmu_male2_bagh,巴格,Bagh,巴格
youmu_male2_ga,嘎,Ga,嘎
youmu_male2_gul,古勒,Gul,古勒
youmu_male2_gazi,加齐,Gazi,加齊
youmu_male2_kad,卡德,Kad,卡德
youmu_male2_ka,卡,Ka,卡
youmu_male2_pan,潘,Pan,潘
youmu_male2_ram,拉姆,Ram,拉姆
youmu_male2_tam,塔姆,Tam,塔姆
youmu_male2_tug,图格,Tug,圖格
youmu_male2_burai,布赖,Burai,布賴
youmu_male2_chai,柴,Chai,柴
youmu_male2_jin,津,Jin,津
youmu_male2_tur,图尔,Tur,圖爾
youmu_male2_kha,卡,Kha,卡
youmu_male2_sai,赛,Sai,賽
youmu_male2_wan,万,Wan,萬
youmu_male2_sal,萨尔,Sal,薩爾
youmu_male2_dal,达尔,Dal,達爾
youmu_male2_kar,卡尔,Kar,卡爾
youmu_male2_ger,格尔,Ger,格爾
youmu_male2_us,乌斯,Us,烏斯
youmu_male2_esh,埃什,Esh,埃什
youmu_male2_amir,阿米尔,Amir,阿米爾
youmu_male2_in,因,In,因
youmu_male2_ul,乌勒,Ul,烏勒
youmu_male2_ef,埃夫,Ef,埃夫
