key,cz
LvLing_centre,京畿道
LvLing_kingdom,藩国
LvLing_jiedushi,军
LvLing_province,道
LvLing_jimizhou,羁縻州

ZhouFeudalism_empire, 朝
ZhouFeudalism_gong, 国
ZhouFeudalism_hou, 国
ZhouFeudalism_bo, 国
ZhouFeudalism_zi, 国

Feudalism_empire, 帝国
Feudalism_kingdom, 王国
Feudalism_grand_duchy, 大公国
Feudalism_duchy, 公国
Feudalism_county, 伯爵领
Feudalism_march, 藩侯领

Feudalism_Reichgrf, 帝国伯爵领
Feudalism_papal_state, 教皇国

Arabic_empire, 帝国
Arabic_mamlaka, 王国
Arabic_imara, 酋长国
Arabic_god_khilafa, 哈里发国
Arabic_god_Sultana, 苏丹国

Republic_republic, 共和国
Republic_province, 省
Republic_state, 州
Republic_autonomous_prefecture,自治州

default_country_post, 国
