key,cz,en,ch
first_miaohaoprefixes_gao,高,High,高
first_miaohaoprefixes_tai,太,Great,太
first_miaohaoprefixes_cheng,成,Accomplished,成
normal_miaohaoprefixes_wen,文,Cultured,文
normal_miaohaoprefixes_wu,武,Martial,武
normal_miaohaoprefixes_xuan,宣,Proclaim,宣
normal_miaohaoprefixes_mu,穆,Reverent,穆
normal_miaohaoprefixes_yi,懿,Virtuous,懿
normal_miaohaoprefixes_jing,景,Illustrious,景
normal_miaohaoprefixes_ren,仁,Benevolent,仁
normal_miaohaoprefixes_hui,徽,Honorable,徽
normal_miaohaoprefixes_zhe,哲,Wise,哲
normal_miaohaoprefixes_li,理,Just,理
normal_miaohaoprefixes_ning,宁,Peaceful,寧
normal_miaohaoprefixes_zhen,真,True,真
normal_miaohaoprefixes_xian,宪,Constitutional,憲
normal_miaohaoprefixes_zhong,忠,Loyal,忠
normal_miaohaoprefixes_zhao,昭,Illustrious,昭
normal_miaohaoprefixes_an,安,Peaceful,安
normal_miaohaoprefixes_kang,康,Healthy,康
normal_miaohaoprefixes_qing,庆,Celebrated,慶
normal_miaohaoprefixes_sheng,圣,Sacred,聖
normal_miaohaoprefixes_ying,英,Heroic,英
normal_miaohaoprefixes_xu,续,Continued,續
normal_miaohaoprefixes_ci,慈,Kind,慈
normal_miaohaoprefixes_xi,熙,Flourishing,熙
normal_miaohaoprefixes_jia,嘉,Excellent,嘉
normal_miaohaoprefixes_yong,永,Eternal,永
normal_miaohaoprefixes_guang,光,Brilliant,光
normal_miaohaoprefixes_hua,华,Splendid,華
normal_miaohaoprefixes_shi,世,Worldly,世
normal_miaohaoprefixes_de,德,Virtuous,德
normal_miaohaoprefixes_yu,裕,Abundant,裕
normal_miaohaoprefixes_xu,绪,Succession,緒
normal_miaohaoprefixes_zhen,贞,Chaste,貞
normal_miaohaoprefixes_xiao,孝,Filial,孝
normal_miaohaoprefixes_xun,循,Orderly,循
normal_miaohaoprefixes_xian,贤,Worthy,賢
normal_miaohaoprefixes_hua,和,Harmonious,和
normal_miaohaoprefixes_kai,开,Opening,開
normal_miaohaoprefixes_xi,析,Discerning,析
normal_miaohaoprefixes_tong,通,Unifying,通
normal_miaohaoprefixes_ji,继,Continuing,繼
normal_miaohaoprefixes_guan,观,Watching,觀
normal_miaohaoprefixes_qi,启,Inaugural,啟
normal_miaohaoprefixes_cui,粹,Pure,粹
normal_miaohaoprefixes_shun,顺,Obedient,順
normal_miaohaoprefixes_bao,保,Preserving,保
