key,cz,en,ch
huaxia_yearname1_yong,永,Eternal,永
huaxia_yearname1_zhao,昭,Illustrious,昭
huaxia_yearname1_jian,建,Establishment,建
huaxia_yearname1_tai,太,Grand,太
huaxia_yearname1_shun,顺,Smooth,順
huaxia_yearname1_jia,嘉,Excellent,嘉
huaxia_yearname1_yuan,元,Origin,元
huaxia_yearname1_hong,弘,Vast,弘
huaxia_yearname1_tian,天,Heavenly,天
huaxia_yearname1_kai,开,Opening,開
huaxia_yearname1_xian,显,Manifest,顯
huaxia_yearname1_shao,绍,Continue,紹
huaxia_yearname1_chong,崇,Exalted,崇
huaxia_yearname1_xian2,咸,All,咸
huaxia_yearname1_qian,乾,Heaven,乾
huaxia_yearname1_xuan,宣,Proclaim,宣
huaxia_yearname1_ren,仁,Benevolent,仁
huaxia_yearname1_xing,兴,Prosper,興
huaxia_yearname1_long,隆,Flourishing,隆，
huaxia_yearname1_zhen,贞,Righteous,貞
huaxia_yearname1_tian,天,Heavenly,天
huaxia_yearname1_ming,明,Bright,明
huaxia_yearname1_jing,景,Scenery,景
huaxia_yearname1_zheng,正,Rectitude,正
huaxia_yearname1_zhong,中,Central,中
huaxia_yearname1_chang,长,Everlasting,長
huaxia_yearname1_tong,同,Peaceful,同
huaxia_yearname1_ning,宁,Tranquility,寧
huaxia_yearname1_guang,广,Vast,廣
huaxia_yearname1_hua,华,Splendor,華
huaxia_yearname1_zhi,治,Govern,治
huaxia_yearname1_wen,文,Civil,文
huaxia_yearname1_heng,恒,Everlasting,恆
huaxia_yearname1_liang,良,Good,良
huaxia_yearname1_sheng,盛,Flourishing,盛
huaxia_yearname1_he,和,Harmony,和
huaxia_yearname1_shi,世,World,世
huaxia_yearname1_jun,君,Ruler,君
huaxia_yearname1_jing2,靖,Pacify,靖
