key,cz,en,ch
city2_yang,阳,Yang,陽
city2_he,河,He,河
city2_hu,湖,Hu,湖
city2_tong,通,Tong,通
city2_lu,潞,Lu,潞
city2_ning,宁,Ning,寧
city2_yuan,源,Yuan,源
city2_du,都,Du,都
city2_ding,定,Ding,定
city2_ping,平,Ping,平
city2_mai,迈,Mai,邁
city2_cheng,明,Ming,明
city2_guan,关,Guan,關
city2_shui,水,Shui,水
city2_zhou,州,Zhou,州
city2_chuan,川,Chuan,川
city2_an,安,An,安
city2_shan,山,Shan,山
city2_chong,崇,Chong,崇
city2_ling,灵,Ling,靈
city2_de,德,De,德
city2_gan,感,Gan,感
city2_han,汉,Han,漢
city2_hua,化,Hua,化
city2_chang,昌,Chang,昌
city2_xian,县,Xian,縣
city2_jiang,江,Jiang,江
city2_xing,兴,Xing,興
city2_yin,阴,Yin,陰
city2_lu,陆,Lu,陸
city2_fang,纺,Fang,紡
city2_bo,博,Bo,博
city2_dao,岛,Dao,島
city2_quan,泉,Quan,泉
city2_jian,剑,Jian,劍
city2_tan,潭,Tan,潭
city2_fu,浮,Fu,浮
city2_zhen,圳,Zhen,圳
city2_wei,卫,Wei,衛
city2_sha,沙,Shan,沙
city2_men,门,Men,門
city2_qing,青,Qing,青
city2_zhu,珠,Zhu,珠
city2_ze,泽,Ze,澤
city2_feng,丰,Feng,豐
city2_ding,鼎,Ding,鼎
city2_hai,海,Hai,海
