key,cz,en,ch
country_zhao,赵,zhao,趙
country_qi,齐,qi,齊
country_chu,楚,chu,楚
country_han,汉,han,漢
country_wei,魏,wei,魏
country_shu,蜀,shu,蜀
country_wu,吴,wu,吳
country_jin,晋,jin,晉
country_hann,韩,hann,韓
country_lu,鲁,lu,魯
country_yan,燕,yan,燕
country_tang,唐,tang,唐
country_song,宋,song,宋
country_ba,巴,ba,巴
country_yue,越,yue,越
country_min,闽,min,閩
country_gan,赣,gan,贛
country_qin,秦,qin,秦
country_xia,夏,xia,夏
country_shang,商,shang,商
country_zhou,周,zhou,周
country_sui,隋,sui,隋
country_liao,辽,liao,遼
country_jin,金,jin,金
country_xiao,萧,xiao,蕭
