key,cz,en,ch
male2_le,乐,Le,樂
male2_long,龙,Long,龍
male2_tao,涛,Tao,濤
male2_gang,钢,Gang,鋼
male2_chao,超,Chao,超
male2_shi,世,Shi,世
male2_hua,华,Hua,華
male2_xu,旭,Xu,旭
male2_wen,文,Wen,文
male2_yang,阳,Yang,陽
male2_xuan,轩,Xuan,軒
male2_qiang,强,Qiang,強
male2_jie,杰,Jie,傑
male2_hao,皓,Hao,皓
male2_hai,海,Hai,海
male2_xun,勋,Xun,勳
male2_bao,宝,Bao,寶
male2_kun,鲲,Kun,鯤
male2_zhong,忠,Zhong,忠
male2_min,民,Min,民
male2_rui,睿,Rui,睿
male2_zhao,昭,Zhao,昭
male2_ji,基,Ji,基
male2_fu,甫,Fu,甫
male2_chi,迟,Chi,遲
male2_de,德,De,德
male2_zhang,彰,Zhang,彰
male2_luo,洛,Luo,洛
male2_dao,道,Dao,道
male2_zheng,正,Zheng,正
male2_jiu,久,Jiu,久
male2_bing,冰,Bing,冰
male2_bang,邦,Bang,邦
