key,cz,en,ch
huaxia_yearname2_an,安,Peace,安
huaxia_yearname2_kang,康,Health,康
huaxia_yearname2_tai,泰,Grand,泰
huaxia_yearname2_yuan,元,Origin,元
huaxia_yearname2_zhen,贞,Righteous,貞
huaxia_yearname2_chang,昌,Flourish,昌
huaxia_yearname2_long,隆,Prosper,隆
huaxia_yearname2_xing,兴,Prosperous,興
huaxia_yearname2_fu,福,Blessing,福
huaxia_yearname2_le,乐,Joy,樂
huaxia_yearname2_sheng,盛,Flourishing,盛
huaxia_yearname2_shun,顺,Smooth,順
huaxia_yearname2_jia,佳,Excellent,佳
huaxia_yearname2_de,德,Virtue,德
huaxia_yearname2_yi,义,Righteous,義
huaxia_yearname2_jing,景,Brilliance,景
huaxia_yearname2_hua,华,Splendor,華
huaxia_yearname2_wen,文,Culture,文
huaxia_yearname2_yu,裕,Abundant,裕
huaxia_yearname2_ke,恪,Respectful,恪
huaxia_yearname2_xuan,宣,Proclaim,宣
huaxia_yearname2_shu,序,Order,序
huaxia_yearname2_ji,纪,Chronicle,紀
huaxia_yearname2_qing,庆,Celebration,慶
huaxia_yearname2_bao,宝,Treasure,寶
huaxia_yearname2_yong,勇,Courage,勇
huaxia_yearname2_heng,恒,Enduring,恆
huaxia_yearname2_yi2,宜,Auspicious,宜
huaxia_yearname2_wu,wu,Martial,武
huaxia_yearname2_tong,tong,Unify,統
huaxia_yearname2_zhi,zhi,Govern,治
huaxia_yearname2_xi,xi,Prosperous,熙
huaxia_yearname2_le,le,Joy,樂
huaxia_yearname2_qi,qi,Inaugurate,啟
huaxia_yearname2_tai,tai,Grand,泰
huaxia_yearname2_shun,shun,Smooth,順
huaxia_yearname2_an,an,Peace,安
huaxia_yearname2_zhen,zhen,Righteous,貞
huaxia_yearname2_kang,kang,Health,康
huaxia_yearname2_chang,chang,Flourish,昌
huaxia_yearname2_qing,qing,Celebrate,慶
huaxia_yearname2_sheng,sheng,Flourishing,盛
huaxia_yearname2_hui,hui,Benevolent,惠
huaxia_yearname2_xuan,xuan,Declare,宣
huaxia_yearname2_li,li,Pattern,曆
