key,cz,en,ch
western_city2_burg,布尔格,Burg,布爾格
western_city2_bourg,布尔,Bourg,布爾
western_city2_berg,贝尔格,Berg,貝爾格
western_city2_grad,格勒,Grad,格勒
western_city2_ville,维尔,Ville,維爾
western_city2_ton,顿,Ton,頓
western_city2_ford,福特,Ford,福特
western_city2_mouth,茅斯,Mouth,茅斯
western_city2_castle,卡斯特,Castle,卡斯特
western_city2_cester,彻斯特,Cester,徹斯特
western_city2_stead,斯特德,Stead,斯特德
western_city2_borg,博格,Borg,博格
western_city2_ham,哈姆,Ham,哈姆
western_city2_haven,哈芬,Haven,哈芬
western_city2_holm,霍尔姆,Holm,霍爾姆
western_city2_chester,切斯特,Chester,切斯特
western_city2_caster,卡斯特,Caster,卡斯特
western_city2_dorf,多夫,Dorf,多夫
western_city2_heim,海姆,Heim,海姆
western_city2_sk,斯克,Sk,斯克
western_city2_ova,奥娃,Ova,奧娃
western_city2_ovo,奥沃,Ovo,奧沃
western_city2_nia,尼亚,Nia,尼亞
western_city2_ia,亚,Ia,亞
western_city2_eau,欧,Eau,歐
western_city2_os,奥斯,Os,奧斯
western_city2_pool,普尔,Pool,普爾
western_city2_borough,伯勒,Borough,伯勒
western_city2_port,波特,Port,波特
western_city2_ness,内斯,Ness,內斯
western_city2_wick,维克,Wick,維克
western_city2_thorpe,索普,Thorpe,索普
western_city2_polis,波利斯,Polis,波利斯
western_city2_stad,施塔特,Stad,施塔特
