key,cz,en,ch
family_habsburg,哈布斯堡,Habsburg,哈布斯堡
family_tudor,都铎,Tudor,都鐸
family_stuart,斯图亚特,Stuart,斯圖亞特
family_romanov,罗曼诺夫,Romanov,羅曼諾夫
family_bourbon,波旁,Bourbon,波旁
family_valois,瓦卢瓦,Valois,瓦盧瓦
family_capetian,卡佩,Cape​tian,卡佩
family_plantagenet,金雀花,Plantagenet,金雀花
family_lancaster,兰开斯特,Lancaster,蘭開斯特
family_york,约克,York,約克
family_windsor,温莎,Windsor,溫莎
family_hanover,汉诺威,Hanover,漢諾威
family_saxe,萨克森,Saxe,薩克森
family_gotha,哥达,Gotha,哥達
family_nassau,拿骚,Nassau,拿騷
family_hohenzollern,霍亨索伦,Hohenzollern,霍亨索倫
family_wittelsbach,维特尔斯巴赫,Wittelsbach,維特爾斯巴赫
family_medici,美第奇,Medici,美第奇
family_borgia,波吉亚,Borgia,波吉亞
family_sforza,斯福尔扎,Sforza,斯福爾扎
family_gonzaga,贡扎加,Gonzaga,貢扎加
family_este,埃斯特,Este,埃斯特
family_savoy,萨伏依,Savoy,薩伏依
family_lorraine,洛林,Lorraine,洛林
family_braganza,布拉甘萨,Braganza,布拉甘薩
family_visconti,维斯孔蒂,Visconti,維斯孔蒂
family_farnese,法尔内塞,Farnese,法爾內塞
family_orsini,奥尔西尼,Orsini,奧爾西尼
family_colonna,科隆纳,Colonna,科隆納
family_montefeltro,蒙特费尔特罗,Montefeltro,蒙特費爾特羅
family_doria,多利亚,Doria,多利亞
family_pamphili,潘菲利,Pamphili,潘菲利
family_aldobrandeschi,阿尔多布兰德斯基,Aldobrandeschi,阿爾多布蘭德斯基
family_barbarigo,巴尔巴里戈,Barbarigo,巴爾巴里戈
family_malatesta,马拉泰斯塔,Malatesta,馬拉泰斯塔
family_capulet,卡比莱特,Capulet,卡比萊特
family_montague,蒙塔古,Montague,蒙塔古
family_macdonald,麦当劳,MacDonald,麥當勞
family_campbell,坎贝尔,Campbell,坎貝爾
family_macleod,麦克劳德,MacLeod,麥克勞德
family_mackenzie,麦肯锡,MacKenzie,麥肯錫
family_macarthur,麦克阿瑟,MacArthur,麥克阿瑟
family_macgregor,麦克格雷戈,MacGregor,麥克格雷戈
family_macintyre,麦金泰尔,MacIntyre,麥金泰爾
family_macdougall,麦克杜格尔,MacDougall,麥克杜格爾
family_macmillan,麦克米兰,MacMillan,麥克米蘭
family_maclean,麦克莱恩,MacLean,麥克萊恩
family_oconnor,奥康纳,O'Connor,奧康納
family_obrien,奥布赖恩,O'Brien,奧布賴恩
family_oneill,奥尼尔,O'Neill,奧尼爾
family_odonnell,奥唐奈,O'Donnell,奧唐奈
family_oreilly,奥赖利,O'Reilly,奧賴利
family_okelly,奥凯利,O'Kelly,奧凱利
family_kennedy,肯尼迪,Kennedy,肯尼迪
family_fitzgerald,菲茨杰拉德,Fitzgerald,菲茨傑拉德
family_roosevelt,罗斯福,Roosevelt,羅斯福
family_churchill,丘吉尔,Churchill,丘吉爾
family_spencer,斯宾塞,Spencer,斯賓塞
family_astor,阿斯特,Astor,阿斯特
family_rockefeller,洛克菲勒,Rockefeller,洛克菲勒
family_carnegie,卡内基,Carnegie,卡內基
family_vanderbilt,范德比尔特,Vanderbilt,范德比爾特
family_morgan,摩根,Morgan,摩根
family_rothschild,罗斯柴尔德,Rothschild,羅斯柴爾德
family_dupont,杜邦,DuPont,杜邦
family_ford,福特,Ford,福特
family_bush,布什,Bush,布什
family_clinton,克林顿,Clinton,克林頓
family_obama,奥巴马,Obama,奧巴馬
family_johnson,约翰逊,Johnson,約翰遜
family_carter,卡特,Carter,卡特
family_reagan,里根,Reagan,里根
family_wilson,威尔逊,Wilson,威爾遜
family_blair,布莱尔,Blair,布萊爾
family_thatcher,撒切尔,Thatcher,撒切爾
family_heath,希思,Heath,希思
family_brown,布朗,Brown,布朗
family_cameron,卡梅伦,Cameron,卡梅倫
family_may,梅,May,梅
family_sunak,苏纳克,Sunak,蘇納克
family_macron,马克龙,Macron,馬克龍
family_merkel,默克尔,Merkel,默克爾
family_sarkozy,萨科齐,Sarkozy,薩科齊
family_hollande,奥朗德,Hollande,奧朗德
family_poroshenko,波罗申科,Poroshenko,波羅申科
family_putin,普京,Putin,普京
family_stalin,斯大林,Stalin,斯大林
family_lenin,列宁,Lenin,列寧
family_khrushchev,赫鲁晓夫,Khrushchev,赫魯曉夫
family_brezhnev,勃列日涅夫,Brezhnev,勃列日涅夫
family_gorbachev,戈尔巴乔夫,Gorbachev,戈爾巴喬夫
family_yeltsin,叶利钦,Yeltsin,葉利欽
family_medvedev,梅德韦杰夫,Medvedev,梅德韋傑夫
family_palaiologos,巴列奥略,Palaiologos,巴列奧略
family_komnenos,科穆宁,Komnenos,科穆寧
family_doukas,都卡斯,Doukas,都卡斯
family_angelos,安格洛斯,Angelos,安格洛斯
family_laskaris,拉斯卡里斯,Laskaris,拉斯卡里斯
family_cantacuzene,坎塔库泽尼,Cantacuzene,坎塔庫澤尼
family_dragas,德拉加什,Dragas,德拉加什
