key,cz,en,ch
male1_al,阿尔,Al,阿爾
male1_alex,亚历,Alex,亞歷
male1_ant,安特,Ant,安特
male1_ar,艾尔,Ar,艾爾
male1_ben,本,Ben,本
male1_br,布尔,Br,布爾
male1_ca,卡,Ca,卡
male1_char,查尔,Char,查爾
male1_chris,克里斯,Chris,克里斯
male1_dan,丹,Dan,丹
male1_ed,艾德,Ed,艾德
male1_er,埃尔,Er,埃爾
male1_fred,弗雷德,Fred,弗雷德
male1_ge,吉,Ge,吉
male1_greg,格雷格,Greg,格雷格
male1_har,哈,Har,哈
male1_hen,亨,Hen,亨
male1_isa,艾萨,Isa,艾薩
male1_jam,詹,Jam,詹
male1_jo,乔,Jo,喬
male1_jon,乔恩,Jon,喬恩
male1_jul,朱尔,Jul,朱爾
male1_karl,卡尔,Karl,卡爾
male1_leo,利奥,Leo,利奧
male1_luk,卢克,Luk,盧克
male1_matt,马特,Matt,馬特
male1_mi,米,Mi,米
male1_nor,诺尔,Nor,諾爾
male1_ol,奥尔,Ol,奧爾
male1_pat,帕特,Pat,帕特
male1_phil,菲尔,Phil,菲爾
male1_ray,雷,Ray,雷
male1_ro,罗,Ro,羅
male1_sam,萨姆,Sam,薩姆
male1_ste,斯特,Ste,斯特
male1_wil,威尔,Wil,威爾
male1_tom,汤姆,Tom,湯姆
male1_ron,朗,Ron,朗
male1_vic,维,Vic,維
male1_mark,马克,Mark,馬克
