key,cz,en,ch
youmu_city2_stan,斯坦,stan,斯坦
youmu_city2_abad,阿巴德,abad,阿巴德
youmu_city2_kand,坎德,kand,坎德
youmu_city2_kent,坎特,kent,坎特
youmu_city2_qala,卡拉,qala,卡拉
youmu_city2_balik,巴里克,balik,巴里克
youmu_city2_nur,努尔,nur,努爾
youmu_city2_gol,戈尔,gol,戈爾
youmu_city2_dagh,达格,dagh,達格
youmu_city2_tagh,塔格,tagh,塔格
youmu_city2_kurgan,库尔干,kurgan,庫爾干
youmu_city2_borg,博格,borg,博格
youmu_city2_qara,卡拉,qara,卡拉
youmu_city2_qor,柯尔,qor,柯爾
youmu_city2_hor,霍尔,hor,霍爾
youmu_city2_kol,科尔,kol,科爾
youmu_city2_mar,玛尔,mar,瑪爾
youmu_city2_tam,塔姆,tam,塔姆
youmu_city2_khot,霍特,khot,霍特
youmu_city2_kot,科特,kot,科特
youmu_city2_tash,塔什,tash,塔什
youmu_city2_yurt,尤尔特,yurt,尤爾特
youmu_city2_shahr,沙赫,shahr,沙赫
youmu_city2_der,德尔,der,德爾
youmu_city2_gur,古尔,gur,古爾
youmu_city2_bakh,巴赫,bakh,巴赫
youmu_city2_beg,贝格,beg,貝格
youmu_city2_tepa,塔帕,tepa,塔帕
youmu_city2_begi,贝吉,begi,貝吉
youmu_city2_atay,阿泰,atay,阿泰
youmu_city2_qosh,阔什,qosh,闊什
youmu_city2_derb,德尔布,derb,德爾布
youmu_city2_mer,梅尔,mer,梅爾
youmu_city2_bat,巴特,bat,巴特
youmu_city2_ogli,奥格里,ogli,奧格里
youmu_city2_oglu,奥格鲁,oglu,奧格魯
youmu_city2_dul,都尔,dul,都爾
youmu_city2_as,阿斯,as,阿斯
youmu_city2_aga,阿加,aga,阿加
youmu_city2_pula,普拉,pula,普拉
youmu_city2_pulaq,普拉克,pulaq,普拉克
youmu_city2_ok,奥克,ok,奧克
youmu_city2_tum,图姆,tum,圖姆
youmu_city2_dom,多木,dom,多木
youmu_city2_duk,杜克,duk,杜克
youmu_city2_nar,纳尔,nar,納爾
youmu_city2_sar,萨尔,sar,薩爾
youmu_city2_zeg,泽格,zeg,澤格
youmu_city2_tar,塔尔,tar,塔爾
