key,cz

ZhouFeudalism_empire,朝
ZhouFeudalism_gong,国
ZhouFeudalism_hou,国
ZhouFeudalism_bo,国
ZhouFeudalism_zi,国

ZhouFeudalism_officiallevel_0,天子
ZhouFeudalism_officiallevel_1,太师
ZhouFeudalism_officiallevel_2,太傅
ZhouFeudalism_officiallevel_3,太保
ZhouFeudalism_officiallevel_4,卿
ZhouFeudalism_officiallevel_5,公
ZhouFeudalism_officiallevel_6,侯
ZhouFeudalism_officiallevel_7,伯
ZhouFeudalism_officiallevel_8,子
ZhouFeudalism_officiallevel_9,国卿

ZhouFeudalism_city,

situ_all,大司徒
sima_all,大司马
sikou_all,大司寇
sishi_all,司士
zongbo_all,宗伯
